0x119	0xfda9ce4
0x15f	0x100aea0b
0x186	0x11e816ee
0x190	0x158ef93e
0x1b9	0x280f2043
0x1ce	0x2d53fe8b
0x1d6	0x4611b648
0x1de	0x54fd4d50
0x268	0x60e07ffd
0x29b	0x687d088e
0x2b0	0xd09dd574
0x2c5	0xd13f1391
0x2ef	0xda35a26f
0x328	0xdede8e95
0x363	0xe1f95890
0x38f	0xe58990c5
0x3c2	0xef7284e3
0x487	0xefc4971f
0x4b1	0xfc3fcec7
0x20cc	0x00000000
