0x139	0x41c	0x9f5
0x312	0x6d9	0xa93
0x6160x250	0x836	0x61f0x250
0x31b0x70	0x704	0x3230x70
0x31b0x7a	0x704	0x3230x7a
0x31b0xad	0x704	0x3230xad
0x31b0x15e	0x704	0x3230x15e
0x31b0x41c	0x704	0x3230x41c
0x31b0x6d9	0x704	0x3230x6d9
0x7d2B0x357	0x836	0x7dbB0x357
0x7d2B0x391	0x836	0x7dbB0x391
0x6160x599B0x530	0x836	0x61f0x599B0x530
