0xd02	0xf0a
0x110f	0x1182
0x225a	0x2596
0x65d	0x3865
0x225a	0x409a
0x270d	0x40bb
0x284b	0x40df
0x2c7e	0x4103
0x2c7e	0x4127
0x2d56	0x414b
0x2d6d	0x4172
0x2f3f	0x4199
0x2f8f	0x41bc
0x65d	0x8110x65d
0xc28	0x8110xc28
0x270d	0x8110x270d
0x13ed	0x148b0x13ed
0x14b0	0x148b0x14b0
0x2599	0x260f0x2599
0x2615	0x260f0x2615
0x2689	0x260f0x2689
0x26cb	0x260f0x26cb
0x225a	0x38ab0x225a
