0x7b	0x00000000
0x85	0x26782247
0xb6	0x3659cfe6
0xe9	0x4f1ef286
0x169	0x5c60da1b
0x17e	0x6a284837
0x193	0x8f283970
0x1c6	0xd3b2f598
0x1db	0xf851a440
