0x39d	0x3a7
0x690	0x690
0x6d9	0x6d9
0x6fe	0x6fe
0x723	0x72c
0x76b	0x76b
0x630	0xc4c
0xc6d	0xc6d
0x20a	0xb5a0x20a
0x372	0xb5a0x372
0x605	0xb5a0x605
