0xadc	0xd7a
0x1020	0x1066
0x1cd7	0x1cd7
0x1cdb	0x1e16
0x2054	0x219a
0x21ab	0x21ab
0x27a8	0x283b
0x2848	0x2934
0x2941	0x2975
0x6e2	0x3257
0x12c3	0x3311
0x1c95	0x3452
0x1ebd	0x34c9
0x1ebd	0x3542
0x1ebd	0x3568
0x1f4a	0x358e
0x1fa4	0x35b3
0x1ffd	0x35d9
0x235f	0x36a0
0x235f	0x36c3
0x25f0	0x36e7
0x25f0	0x370c
0x27a8	0x3731
0x2848	0x3753
0x75a	0x75f0x75a
0x2054	0x75f0x2054
0x1fa4	0x13750x1fa4
0x21b1	0x22600x21b1
0x27a8	0x22600x27a8
0x1c4c	0x342c0x1c4c
0x1e63	0x34a30x1e63
0x21b1	0x367e0x21b1
0x27a8	0x367e0x27a8
