0x7a	0x81
0x90	0x98
0xb7	0xbe
0xc6	0xce
0xd0	0x3ea
0xec	0xf4
0xf6	0xfd
0xf9	0x1d3
0x113	0x11b
0x11d	0x40b
0x144	0x14c
0x14e	0x446
0x156	0x481
0x17d	0x185
0x187	0x4a2
0x1aa	0x1b1
0x1bd	0x1c5
0x1c6	0x1cf
0x1cb	0x2d8
0x2eb	0x2f3
0x2f4	0x2fc
0x2f8	0x3ac
0x2ff	0x307
0x30d	0x315
0x4a4	0x4b2
0x4a6	0x4b5
0x4a8	0x4b8
0x4aa	0x4bb
0x4ac	0x4be
0x4ae	0x4c1
0x4b0	0x4c4
0x251V0x185	0x258B0x185
0x264V0x185	0x26cB0x185
0x279V0x185	0x281B0x185
0x2a3V0x185	0x2aaB0x185
0x2cdV0x185	0x2d5B0x185
0x2d1V0x185	0x37dB0x185
0x1e9V0x155	0x1f0B0x155
0x1fcV0x155	0x204B0x155
0x205V0x155	0x20eB0x155
0x242V0x155	0x24aB0x155
