0x14c	0x00000000
0x151	0x75ab9782
0x151	0x23de29
0x166	0x12d0e65a
0x179	0x21eb5859
0x18c	0x248a9ca3
0x1c2	0x27e5455a
0x1d5	0x2e64cec1
0x1dd	0x2f2ff15d
0x1f0	0x36568abe
0x203	0x485cc955
0x216	0x76d07f6b
0x229	0x9010d07c
0x254	0x91d14854
0x277	0x9ac1c4ad
0x28a	0xa15f74a2
0x29d	0xa217fddf
0x2a5	0xb39e12cf
0x2b8	0xc09558db
0x2cb	0xc4d66de8
0x2de	0xca15c873
0x2f1	0xced3a403
0x306	0xd547741f
0x319	0xf7e7d1fd
