0x7df	0x787	0x7c5
0x861	0x809	0x847
0x8e3	0x88b	0x8c9
0xb0e	0xab3	0xaf7
0xbe5	0xb8d	0xbcb
0xc67	0xc0f	0xc4d
0xdb6	0xd5e	0xd9c
0xe5c	0xe01	0xe45
0xf89	0xf2e	0xf72
0x100e	0xfb3	0xff7
0x10ac	0x1051	0x1095
0x11f9	0x119e	0x11e2
0x1330	0x12d8	0x1316
0x13b2	0x135a	0x1398
0x1591	0x1536	0x157a
0x1616	0x15bb	0x15ff
0x16b4	0x1659	0x169d
0x1768	0x170d	0x1751
0x1841	0x17e6	0x182a
0x29c4	0xaf7	0x29a7
0x35e3	0x11e2	0x35c6
0x49b90x497d	0x497darg0x0	0x499c
0x4cb0x4a1	0x18e8V0x4a1	0x4a10x4b7
0x4cb0x998	0x99f_0x0	0x9980x4b7
0x4cb0x10eb	0x3347V0x10eb	0x10eb0x4b7
0x4cb0x13d1	0x3a1fV0x13d1	0x13d10x4b7
0x49b90x4c23B0x4411	0x4c2dV0x4411	0x5166V0x4411
