0x23	0x2c
0xa5	0xb1
0xbe	0xca
0xce	0xed
0xd2	0xe1
0xee	0xfd
0xfe	0x308
0x220V0x2c	0x271B0x2c
0x1f7V0x2c	0x201B0x2c
0x217V0x2c	0x225B0x2c
0x22aV0x2c	0x240B0x2c
0x275V0x2c	0x280B0x2c
0x24bV0x2c	0x271B0x2c
0x258V0x2c	0x270B0x2c
0x23bV0x2c	0x271B0x2c
0x26bV0x2c	0x253B0x2c
0x2cdV0x1f3V0x2c	0x2d9B0x1f3B0x2c
0x2b1V0x1f3V0x2c	0x2bcB0x1f3B0x2c
0x2c4V0x1f3V0x2c	0x2d3B0x1f3B0x2c
0x29aV0x271V0x2c	0x285B0x271B0x2c
0x28aV0x271V0x2c	0x29fB0x271B0x2c
0x220V0xb1	0x271B0xb1
0x1f7V0xb1	0x201B0xb1
0x217V0xb1	0x225B0xb1
0x22aV0xb1	0x240B0xb1
0x275V0xb1	0x280B0xb1
0x24bV0xb1	0x271B0xb1
0x258V0xb1	0x270B0xb1
0x23bV0xb1	0x271B0xb1
0x26bV0xb1	0x253B0xb1
0x2cdV0x1f3V0xb1	0x2d9B0x1f3B0xb1
0x2b1V0x1f3V0xb1	0x2bcB0x1f3B0xb1
0x2c4V0x1f3V0xb1	0x2d3B0x1f3B0xb1
0x29aV0x271V0xb1	0x285B0x271B0xb1
0x28aV0x271V0xb1	0x29fB0x271B0xb1
0x1d2V0xed	0x1f1B0xed
0x1d6V0xed	0x1e5B0xed
