0x3f0	0x398	0x3d6
0x504	0x4ac	0x4ea
0x86d	0x812	0x856
0x75e	0x22de	0x73e
0x79d	0x2322	0x77d
0x26cf	0x856	0x26a8
0x3d000x33bf	0x33c9	0x3ce3
0x3d000x39ba	0x39c4	0x40c1
0x3d000x411aB0x4103B0x3d5bB0x38b5	0x3d64V0x38b5	0x425bV0x4103V0x3d5bV0x38b5
0x3d000x411aB0x4103B0x3d5bB0x3401B0xff6	0x3d64V0x3401B0xff6	0x425bV0x4103V0x3d5bV0x3401B0xff6
0x3d000x411aB0x4103B0x3d5bB0x3907B0x1936	0x3d64V0x3907B0x1936	0x425bV0x4103V0x3d5bV0x3907B0x1936
0x3d000x411aB0x4103B0x3d5bB0x3401B0x1c27	0x3d64V0x3401B0x1c27	0x425bV0x4103V0x3d5bV0x3401B0x1c27
0x3d000x411aB0x4103B0x3d5bB0x3907B0x3e86B0x350b	0x3d64V0x3907B0x3e86B0x350b	0x425bV0x4103V0x3d5bV0x3907B0x3e86B0x350b
