0xb9	0x253	0xc3	0xc3
0xe7	0x265	0x121	0x121
0x12f	0x2a1	0x137	0x137
0x154	0x2d5	0x137	0x137
0x167	0x309	0x137	0x137
0x17a	0x385	0x182	0x182
0x1b6	0x3a1	0x137	0x137
0x1c9	0x3d5	0x137	0x137
0x1dc	0x3db	0x137	0x137
0x1ef	0x457	0x137	0x137
0x202	0x48b	0x182	0x182
0x215	0x4a7	0x21d	0x21d
0x23c	0x4ac	0x137	0x137
0x253	0x4e0	0x260	0x260
0x265	0x5c0	0x26e	0x26e
