0x13b	0xc0edbe8
0x145	0x158ef93e
0x161	0x25e22370
0x192	0x344e5e34
0x1af	0x4c96a389
0x1e2	0x69a17989
0x1fc	0x715018a6
0x204	0x728fa2a9
0x20c	0x87854396
0x256	0x8da5cb5b
0x25e	0x9d8fac7f
0x38a	0xaaf5a58f
0x3bd	0xc0c53b8b
0x402	0xd1af0c7d
0x40a	0xd34b1e6a
0x412	0xea411344
0x41a	0xeacdc5ff
0x422	0xf2fde38b
0x2056	0x00000000
