0xfd	0x950d515
0x117	0xb26cf66
0x138	0x1072cbea
0x15c	0x392e53cd
0x185	0x437764df
0x1cc	0x530b97a4
0x203	0x6435914e
0x22a	0x69ffa08a
0x251	0x6e5d6bea
0x272	0x871c0760
0x2a3	0x8da5cb5b
0x2b8	0x99650862
0x2d0	0x9a454b99
0x2f7	0x9a4a4395
0x30f	0x9cb7595a
0x350	0xbe3b625b
0x365	0xcd596583
0x37a	0xe5ebccf4
0x38f	0xf2fde38b
0x3b0	0xf3b83791
0x23eb	0x00000000
