0x7ab	0x88e
0x898	0x9c7
0x9d0	0xa6e
0xbca	0xc4f
0xd47	0x10f0
0x171d	0x180d
0x1aca	0x1aca
0x1ad2	0x1d64
0x1d70	0x1dd4
0x1e79	0x1f1b
0x1f23	0x207c
0x57b	0x2767
0x5a3	0x2789
0xa73	0x27ae
0x125f	0x27d0
0x1299	0x27f2
0x1615	0x2814
0x1aa2	0x285a
0x1aa2	0x287d
0x1d70	0x28a0
0x1ddb	0x28c3
0x2234	0x28e8
0x2234	0x290f
0x22dd	0x2936
0x64f	0x7050x64f
0x236a	0x7050x236a
0xa98	0xb0d0xa98
0xb56	0xb0d0xb56
0x1177	0xb0d0x1177
0x11eb	0xb0d0x11eb
0xc93	0xd070xc93
0x1104	0xd070x1104
0x1524	0x15ac0x1524
0x1623	0x15ac0x1623
0x1696	0x15ac0x1696
0x184e	0x15ac0x184e
0x190c	0x28370x190c
