0xddd	tokens(address,address)
0xe68	orderFills(address,bytes32)
0xf3b	transferFrom(address,address,uint256)
0x171e	feeMake()
0x1776	feeTake()
0x1aab	balanceOf(address,address)
0x1b82	trade(address,uint256,address,uint256,uint256,uint256,address,uint8,bytes32,bytes32,uint256)
0x1eb0	balanceOf(address)
0x1f2b	transfer(address,uint256)
0x2481	deposit()
0x24e5	balanceOf(address)
0x2563	approve(address,uint256)
0x25d0	depositToken(address,uint256)
0x2684	balanceOf(address,address)
0x2700	withdraw(uint256)
0x276b	withdrawToken(address,uint256)
