0x1b2	0x4c1
0x40b	0x64b
0xd46	0x12a
0xd76	0x3ff
0xd79	0x414
0xd7c	0x429
0xd7f	0x43e
0xd82	0x479
0xd85	0x48e
0xd67	0x366
0xd6a	0x397
0xd6d	0x3ac
0xd70	0x3c1
0xd73	0x3d6
0xd58	0x2ac
0xd5b	0x2d6
0xd5e	0x2eb
0xd61	0x300
0xd64	0x333
0xd49	0x1a6
0xd4c	0x230
0xd4f	0x257
0xd52	0x26c
0xd55	0x281
