0x746	0x6eb	0x72f
0x908	0x8ad	0x8f1
0xe0c	0xdb1	0xdf5
0x10c4	0x1069	0x10ad
0x131c	0x12c1	0x1305
0x13cd	0x1372	0x13b6
0x1596	0x153b	0x157f
0x1843	0x17e8	0x182c
0x1a56	0x19fb	0x1a3f
0x32e4	0xbbf	0x32cd
0x113f0x1b7a	0x1b8e_0x0	0x1b7a0x112b
