0x72f	0x73d	-32
0x8f1	0x8ff	-32
0xdf5	0xe03	-32
0x10ad	0x10bb	-32
0x1305	0x1313	-32
0x13b6	0x13c4	-32
0x157f	0x158d	-32
0x182c	0x183a	-32
0x1a3f	0x1a4d	-32
0x1e14	0x1fb9	0
0x1e14	0x1ffe	0
0x1e14	0x2042	0
0x1e14	0x214f	0
0x1e14	0x228b	0
0x1e14	0x55c20x55a8S0x226b	0
0x1e14	0x1fc0	4
0x1e14	0x2005	4
0x1e14	0x2049	4
0x1e14	0x2156	4
0x1e14	0x2292	4
0x1e14	0x55c90x55a8S0x226b	4
0x1e14	0x1e5f	36
0x1e14	0x1ec7	36
0x1e14	0x1f2e	36
0x1e14	0x1f96	36
0x1e14	0x1fc7	36
0x1e14	0x200c	36
0x1e14	0x2050	36
0x1e14	0x20be	36
0x1e14	0x212a	36
0x1e14	0x215d	36
0x1e14	0x21cd	36
0x1e14	0x2245	36
0x1e14	0x2299	36
0x1e14	0x55d00x55a8S0x226b	36
0x1e14	0x1fdd	68
0x1e14	0x2022	68
0x1e14	0x2061	68
0x1e14	0x2170	68
0x1e14	0x22a9	68
0x1e14	0x55f60x55a8S0x226b	68
0x1e63	0x1fb9	0
0x1e63	0x1ffe	0
0x1e63	0x2042	0
0x1e63	0x214f	0
0x1e63	0x228b	0
0x1e63	0x55c20x55a8S0x226b	0
0x1e63	0x1fc0	4
0x1e63	0x2005	4
0x1e63	0x2049	4
0x1e63	0x2156	4
0x1e63	0x2292	4
0x1e63	0x55c90x55a8S0x226b	4
0x1e63	0x1e5f	36
0x1e63	0x1ec7	36
0x1e63	0x1f2e	36
0x1e63	0x1f96	36
0x1e63	0x1fc7	36
0x1e63	0x200c	36
0x1e63	0x2050	36
0x1e63	0x20be	36
0x1e63	0x212a	36
0x1e63	0x215d	36
0x1e63	0x21cd	36
0x1e63	0x2245	36
0x1e63	0x2299	36
0x1e63	0x55d00x55a8S0x226b	36
0x1e63	0x1fdd	68
