0xa5	0x256
0xf9	0x3b3
0x8dd	0x4a
0x8e0	0x54
0x8e3	0x7d
0x8e6	0x99
0x8e9	0xc4
0x8ec	0xed
0x16eB0x76	0x495
0x1c3B0x92	0x495
