0xad9	0xd9b
0xfea	0x11ac
0x1900	0x1e48
0x2162	0x21db
0x2339	0x24cc
0x2701	0x2703
0x2706	0x29d1
0x2a17	0x2a53
0x31eb	0x322d
0x34bd	0x3519
0x379e	0x383e
0x4dc8	0x4e03
0x4e47	0x4e66
0x4e6e	0x4e85
0x4e8f	0x4ea6
0x4ed5	0x4ed5
0x4ee7	0x4ee7
0x4eeb	0x4eeb
0x4eff	0x4eff
0x4f27	0x4f27
0x4f2d	0x4f2d
0x4f66	0x4f66
0x4f72	0x4f96
0x4f9e	0x4f9e
0xfea	0x5782
0xfea	0x57a6
0xfea	0x57ca
0xfea	0x57ee
0xfea	0x5812
0xfea	0x5836
0xfea	0x585a
0x2c8e	0x5dda
0x2d5f	0x5e20
0x2db8	0x5e43
0x2e31	0x5e66
0x2e6d	0x5eab
0x2ef4	0x5ef0
0x2f17	0x5f35
0x2f3a	0x5f7a
0x2f3a	0x5f9c
0x2f81	0x5fbe
0x2f8c	0x6007
0x300b	0x6054
0x3068	0x60a1
0x30c5	0x60ee
0x3135	0x6117
0x3140	0x613c
0x314b	0x6161
0x3156	0x61aa
0x31a5	0x61f6
0x3234	0x621e
0x323f	0x6243
0x324a	0x6268
0x32e5	0x62eb
0x33c4	0x6317
0x33e2	0x633e
0x3400	0x6365
0x3435	0x638c
0x3453	0x63b3
0x348d	0x63dc
0x356b	0x6435
0x359d	0x6483
0x35b5	0x64d0
0x35c4	0x64f5
0x35cd	0x651a
0x3626	0x6544
0x3694	0x6570
0x36f5	0x659c
0x3743	0x65c6
0x374c	0x65eb
0x6610	0x6610
0x3755	0x6632
0x6657	0x6657
0x6679	0x6679
0x3766	0x669b
0x379e	0x66c4
0x379e	0x66eb
0x6785	0x6785
0x67a9	0x67a9
0x67cd	0x67cd
0x4518	0x67f1
0x4798	0x6816
0x47d5	0x683b
0x47de	0x6860
0x47f0	0x68aa
0x482c	0x68cf
0x4837	0x68f4
0x4860	0x693f
0x4924	0x698e
0x4971	0x69b7
0x497f	0x69dc
0x49b4	0x6a04
0x49dc	0x6a2b
0x4a11	0x6a53
0x4a1f	0x6a78
0x4a2d	0x6a9d
0x4a3e	0x6ac3
0x4a4e	0x6ae8
0x4a5e	0x6b0d
0x4a6e	0x6b32
0x4a7e	0x6b57
0x4a8e	0x6b7c
0x4a9e	0x6ba1
0x4aae	0x6bc6
0x4abe	0x6beb
0x4ace	0x6c10
0x4ade	0x6c35
0x4aee	0x6c5a
0x4afe	0x6c7f
0x4b0e	0x6ca4
0x4b1e	0x6cc9
0x4b2e	0x6cee
0x4b3e	0x6d13
0x4b4e	0x6d38
0x4b5e	0x6d5d
0x4b6e	0x6d82
0x4b7e	0x6da7
0x4b8e	0x6dcc
0x4b9e	0x6df1
0x4bae	0x6e16
0x4bbe	0x6e3b
0x4bce	0x6e60
0x4bde	0x6e85
0x4bee	0x6eaa
0x4bfe	0x6ecf
0x4c0e	0x6ef4
0x4c1e	0x6f19
0x4c2e	0x6f3e
0x4c3e	0x6f63
0x4c4e	0x6f88
0x4c5e	0x6fad
0x4c6e	0x6fd2
0x4c7e	0x6ff7
0x4c8c	0x701c
0x4d34	0x704a
0x4e0e	0x7078
0x4ef4	0x70a0
0x4f04	0x70c5
0x4f3e	0x70e9
0x4f50	0x7133
0x4f5b	0x7158
0x4f72	0x717d
0x4fc6	0x71a2
0x71e6	0x71e6
0x29d8	0x5d3c0x29d8
0x2d18	0x5dfd0x2d18
0x2e87	0x5dfd0x2e87
0x3270	0x62bf0x3270
0x3525	0x62bf0x3525
0x4845	0x69190x4845
0x487b	0x69190x487b
0x4dba	0x69190x4dba
0x4889	0x69650x4889
0x48e3	0x69650x48e3
0x4f45	0x710e0x4f45
0x4fd0	0x71c40x4fd0
0x4fe4	0x71c40x4fe4
0x4fed	0x71c40x4fed
0x4ff6	0x71c40x4ff6
0x4fff	0x71c40x4fff
