0x2aa
0x2ca
0x32c
0x370
0x390
0x3b0
0x3f4
0x438
0x4cd
0x564
0x5fb
0x679
0x686
0x6a6
0x6c6
0x6e6
0x79c
0x7bc
0x800
0x82e
0x84e
0x892
0x8f6
0x958
0xa9b
0xabb
0xaff
0xb43
0xb9d
0xbe1
0xc01
0xc21
0xc83
0xca3
0xd7e
0xdc2
0xe06
