0xfc80x2d10
0xfd30x2d10
0xfdc0x2d10
0x10270x2d10
0x10690x2d10
0x109e0x2d10
0x10a70x2d10
0x10b00x2d10
0x110c0x2d10
0x11340x2d10
0x2d3c0x2d10
0x2d4d0x2d10
0x2d550x2d10
0x2d5b0x2d10
0x2d630x2d10
0x2d680x2d10
0x2d7f0x2d10
0x2d920x2d10
0x2de50x2d10
0x2df80x2d10
0x2e0c0x2d10
0x2e3f0x2d10
0x50f20x2d10
0x51160x2d10
0x513a0x2d10
0x515e0x2d10
0x61b10x2d10
0x61d90x2d10
