0x10d7S0xdaa
0x10e6S0xdaa
0x1363S0x10e0S0xdaa
0x1c09S0x144eS0x1114S0x1080S0xdaa
0x1203S0x11d1S0x1114S0x1080S0xdaa
0x120aS0x11d1S0x1114S0x1080S0xdaa
