0xd4	0x22ce64a2
0xe9	0x514fcac7
0xfc	0x598647f8
0x10f	0x619c6b58
0x122	0x715018a6
0x12a	0x7a5a2ac0
0x153	0x8da5cb5b
0x168	0xc93df137
0x17b	0xd09ef241
0x19b	0xe5d15968
0x1a3	0xed99208c
0x1b6	0xf09a4016
0x1c9	0xf2fde38b
0x1c9e	0x00000000
