0xb37	0xb3b
0x1540	0x16e0
0x1776	0x1776
0x2be8	0x2dea
0x30fd	0x30fd
0x3103	0x3119
0x3271	0x32a5
0x32ad	0x335e
0x3621	0x36d7
0xb44	0x43ec
0x1110	0x4481
0x1526	0x4514
0x1540	0x4535
0x1540	0x45c6
0x1540	0x4633
0x1540	0x46a0
0x17d4	0x4731
0x2782	0x48e6
0x2782	0x4908
0x27f6	0x499a
0x2fbf	0x4be7
0x30a3	0x4c7e
0x3103	0x4ca4
0x3140	0x4ced
0x31a8	0x4d37
0x32ad	0x4d5c
0x3469	0x4d7e
0x3469	0x4da3
0x3621	0x4dc8
0x36e6	0x4dea
0x374b	0x4e0d
0x2397	0x24920x2397
0x2674	0x276c0x2674
0x312a	0x313a0x312a
0x3192	0x31a10x3192
0x95a	0x430e0x95a
0x2397	0x48540x2397
0x2674	0x48c30x2674
0x2b2d	0x4a050x2b2d
0x3008	0x4c0d0x3008
0x3008	0x4c320x3008
0x3061	0x4c580x3061
0x312a	0x4cc70x312a
0x3192	0x4d110x3192
