0x1dc1	0x1e1d
0x1ec5	0x405d
0x1ffa	0x4083
0x2064	0x40a9
0x2064	0x40cd
0x2224	0x40f1
0x235a	0x4118
0x23d3	0x413e
0x2458	0x4161
0x1e23	0xf450x1e23
0x1e23	0x40110x1e23
0x1e81	0x40370x1e81
