0x1b8	0xfd6240e
0x1ec	0x158ef93e
0x218	0x1ebeef89
0x230	0x21dadb75
0x248	0x220cce97
0x260	0x2ff55e87
0x2a9	0x30bc3daa
0x302	0x46951954
0x339	0x52d1902d
0x351	0x5a2e2f47
0x388	0x5b55c1b1
0x3c5	0x7b103999
0x3dd	0x8463dd84
0x40e	0x8da5cb5b
0x426	0x953612b5
0x4d2	0xac4afa38
0x500	0xaf1c0db0
0x53f	0xb39e12cf
0x557	0xbd097e21
0x56f	0xcbe25197
0x5a6	0xcfad00b8
0x5dd	0xdbdd2989
0x61c	0xde260f37
0x653	0xe3fedc51
0x740	0xeb7e3a5c
0x783	0xf3bc96ea
0x41cc	0x00000000
