0x93	0x1e2	0x7bc
0xde	0x2b8	0x809
0xe70x4a	0x2e3	0xef0x4a
0xe70x1e2	0x2e3	0xef0x1e2
0xe70x2b8	0x2e3	0xef0x2b8
0x123B0x6f	0x392	0x12b0x101B0x6f
0xe70x101B0x6f	0x2e3	0xef0x101B0x6f
0x15dB0x82	0x392	0x165B0x82
0xe70x13bB0x82	0x2e3	0xef0x13bB0x82
0xe70x21fB0xcd	0x2e3	0xef0x21fB0xcd
