0x0	0xd
0x3f	0x4a
0xd	0x1e
0x74	0xd99
0x4e	0x5a
0x301	0x334
0x4e1	0x514
0x6e3	0x71a
0x8d	0x95
0xb8	0xc0
0xfd	0x105
0x128	0x130
0x151	0x159
0x17c	0x184
0x5a	0x65
0x1e	0x29
0x29	0x34
0x34	0x3f
0x65	0x70
0x2a40x0	0x2c40x0
0x2a40xd9b	0x2c40xd9b
0x2320x0	0x26a0x0
0x2320xd9b	0x26a0xd9b
0x1ba0x0	0x1ed0x0
0x1ba0xd9b	0x1ed0xd9b
0x1ad0x0	0x1b30x0
0x1ad0xd9b	0x1b30xd9b
0x382B0xf6	0x3b5B0xf6
0x420B0xf6	0x43cB0xf6
0x45dB0xf6	0x462B0xf6
0x462B0xf6	0x46cB0xf6
0xb70B0x967B0x3f8B0xf6	0xb76B0x967B0x3f8B0xf6
0xb49B0x967B0x3f8B0xf6	0xb4cB0x967B0x3f8B0xf6
0xb67B0x967B0x3f8B0xf6	0xb70B0x967B0x3f8B0xf6
0xb4cB0x967B0x3f8B0xf6	0xb55B0x967B0x3f8B0xf6
0x88eB0xc4	0x89cB0xc4
0xc94B0x83aB0x8a0B0xc4	0xc9bB0x83aB0x8a0B0xc4
0x90bB0x134	0x919B0x134
0xcabB0x84fB0x91dB0x134	0xcb2B0x84fB0x91dB0x134
0x88eB0x188	0x89cB0x188
0xc94B0x83aB0x8a0B0x188	0xc9bB0x83aB0x8a0B0x188
0x5b0B0x19e	0x5e3B0x19e
0x61dB0x19e	0x653B0x19e
0x8b7B0xe1	0x8c6B0xe1
0x8d8B0xe1	0x8f1B0xe1
0xc94B0x83aB0x8caB0xe1	0xc9bB0x83aB0x8caB0xe1
0x864B0x8f5B0xe1	0x871B0x8f5B0xe1
0x80fB0x875B0x8f5B0xe1	0x823B0x875B0x8f5B0xe1
0xaa4B0x875B0x8f5B0xe1	0xab7B0x875B0x8f5B0xe1
0xb85B0x80aB0x875B0x8f5B0xe1	0xb9cB0x80aB0x875B0x8f5B0xe1
0x2270x0	0x2280x0
0x2270xd9b	0x2280xd9b
