0xd99	0xd9b
0xda	0x2f9
0xda5	0xfd
0xda8	0x128
0xdab	0x151
0xdae	0x17c
0xd9c	0x8d
0xd9f	0xb8
0xda2	0xe1
0x3efB0xf6	0x2f9
