0x8d	0x25313a2
0xb8	0x3659cfe6
0xe1	0x4f1ef286
0xfd	0x5c60da1b
0x128	0x612f2f37
0x151	0x6c376cc5
0x17c	0xf1739cae
0xd9b	0x00000000
