0x40	0x3d	0
0x40	0x3d	1
0x1f	0x12	0
0x1f	0x1d	1
0x4	0x0	1
0x4	0x2	0
0xf	0x8	1
0xf	0xe	0
0x8	0x5	0
0xd	0x9	1
0xd	0xb	0
0xe	0xd	0
0x15	0x12	0
0x1b	0x16	1
0x1b	0x19	0
0x1c	0x1b	0
0x1d	0x15	1
0x1d	0x1c	0
0x37	0x35	0
0x45	0x43	0
0x49	0x45	1
0x49	0x47	0
0x54	0x45	1
0x54	0x52	0
0x64	0x55	1
0x64	0x62	0
0x6a	0x68	0
0x6e	0x6a	1
0x6e	0x6c	0
0x79	0x6a	1
0x79	0x77	0
0x81	0x7a	1
0x81	0x7f	0
0xb4	0xae	1
0xb4	0xb2	0
0xb7	0xb4	1
0xb7	0xb5	0
0xbd	0xba	0
0xc4	0xc0	1
0xc4	0xc2	0
0xc5	0xbe	1
0xc5	0xc4	0
0xc6	0xc5	0
0xc7	0xbd	1
0xc7	0xc6	0
0xce	0xca	1
0xce	0xcc	0
0xcf	0xc8	1
0xcf	0xce	0
0xd1	0xcf	1
0xd1	0x10e	0
0xd4	0xc7	1
0xd4	0xd1	0
0xda	0xd8	0
0x1feS0x41	0x1b8V0x41	0
0x1b8S0x41	0x45	0
0x1bfS0x41	0x1bbV0x41	1
0x1bfS0x41	0x1bdV0x41	0
0x1c0S0x41	0x1b9V0x41	1
0x1c0S0x41	0x1bfV0x41	0
0x1c2S0x41	0x1b8V0x41	0
0x1c2S0x41	0x1c0V0x41	1
0x1c3S0x41	0x1c2V0x41	0
0x1ddS0x41	0x86	0
0x119S0x41	0x112V0x41	1
0x119S0x41	0x117V0x41	0
0x1f1S0x41	0x1b8V0x41	0
0x1f1S0x41	0x1eeV0x41	1
0x1f5S0x41	0x1f1V0x41	0
0x1f5S0x41	0x1f2V0x41	1
0x22bS0x41	0x223V0x41	0
0x22bS0x41	0x228V0x41	1
0x22eS0x41	0x22cV0x41	0
0x230S0x41	0x1b8V0x41	0
0x230S0x41	0x22eV0x41	1
0x20cS0x41	0x20aV0x41	0
0x211S0x41	0x1b8V0x41	1
0x211S0x41	0x20dV0x41	0
0x212S0x41	0x20cV0x41	1
0x212S0x41	0x211V0x41	0
0x213S0x41	0x212V0x41	0
0x214S0x41	0x213V0x41	0
0x214S0x41	0x209_0x0V0x41	1
0x219S0x41	0x1b8V0x41	1
0x219S0x41	0x215V0x41	0
0x21aS0x41	0x214V0x41	1
0x21aS0x41	0x219V0x41	0
0x209_0x0S0x41	0x1fbV0x41	-1
0x209_0x0S0x41	0x208V0x41	-1
0x257S0x41	0x1b8V0x41	1
0x257S0x41	0x230V0x41	0
0x258S0x41	0x257V0x41	0
0x235S0x41	0x230V0x41	1
0x235S0x41	0x232_0x0V0x41	0
0x236S0x41	0x235V0x41	0
0x232_0x0S0x41	0x223V0x41	-1
0x232_0x0S0x41	0x24dV0x41	-1
0x27cS0x41	0x1b8V0x41	1
0x27cS0x41	0x278V0x41	0
0x27dS0x41	0x278V0x41	1
0x27dS0x41	0x27cV0x41	0
0x207S0x41	0x45	1
0x207S0x41	0x1ebV0x41	0
0x208S0x41	0x207V0x41	0
0x23eS0x41	0x45	1
0x23eS0x41	0x23c_0x5V0x41	0
0x23fS0x41	0x23eV0x41	0
0x244S0x41	0x1ebV0x41	0
0x244S0x41	0x23c_0x5V0x41	1
0x24aS0x41	0x246V0x41	1
0x24aS0x41	0x23c_0x1V0x41	0
0x24dS0x41	0x1ebV0x41	0
0x24dS0x41	0x23c_0x0V0x41	1
