0xac	0x54d50d4
0x10f	0xd358f87
0x150	0x149ad8a4
0x191	0x3cdc5389
0x1d2	0x3fc8cef3
0x213	0x570ca735
0x254	0x5780101d
0x2af	0x940a4e45
0x2ea	0xc4d66de8
0x33b	0xcf98a6b7
0x3a0	0xe9b70dda
0x16d7	0x00000000
