0x13c	0x242241d
0x146	0xc340a24
0x190	0xed57b3a
0x1f4	0xfc3b4c4
0x278	0x1072cbea
0x2c6	0x125f9e33
0x310	0x28a07025
0x31a	0x430bf08a
0x364	0x47e7ef24
0x3c6	0x5d36b190
0x3d0	0x5f515226
0x428	0x70d0ea46
0x480	0x790fcf9f
0x5ae	0x9a6acf20
0x5f2	0xaa388af6
0x64e	0xad1728cb
0x658	0xc7af3352
0x67a	0xc89d5b8b
0x698	0xd38bfff4
0x6dc	0xd9caed12
0x75e	0xdbe55e56
0x34fd	0x00000000
