0x0	__function_selector__
0x126	remainingUserDepositAllowed(address)
0x14f	guests(address)
0x16f	authorized(address,uint256,bytes32[])
0x182	wrapperBalance(address)
0x195	setGuestRoot(bytes32)
0x1aa	totalDepositCap()
0x1b2	renounceOwnership()
0x1ba	setGuests(address[],bool[])
0x1cd	owner()
0x1e2	setUserDepositCap(uint256)
0x1f5	remainingTotalDepositAllowed()
0x1fd	userDepositCap()
0x205	wrapper()
0x20d	proveInvitation(address,bytes32[])
0x220	initialize(address)
0x233	setTotalDepositCap(uint256)
0x246	vaultBalance(address)
0x259	transferOwnership(address)
0x26c	guestRoot()
0x274	0x274
0x2a6	0x2a6
0x340	0x340
0x4b7	0x4b7
0x5e3	0x5e3
0x710	0x710
0x821	0x821
0x90f	0x90f
0x958	0x958
0x9ce	0x9ce
0x9d2	0x9d2
0xa82	0xa82
0xa88	0xa88
0xbe4	0xbe4
0xc65	0xc65
0xd3f	0xd3f
0xd56	0xd56
0xd9f	0xd9f
0xdba	0xdba
0xe18	0xe18
0xe71	0xe71
0xece	0xece
0xf1b	0xf1b
0xf29	0xf29
0xf48	0xf48
0xfea	0xfea
0x1038	0x1038
0x10b6	()
0x10b6	fallback()
