0xfa
0x343
0x72f
0xd9e
0xffd
0x1076
0x108c
0x1657
0x1989
0x19ef
0x1db9
0x1f8f
0x213f
0x2142
0x2145
0x2148
0x214b
0x214e
0x2151
0x2154
0x2157
0x215a
0x215d
0x2160
0x2163
0x2166
0x2169
0x216c
