0x26f	0x216	0x255
0x303	0x2aa	0x2e9
0x494	0x438	0x47d
0x52b	0x4cf	0x514
0x63b	0x5e2	0x621
0x6ef	0x696	0x6d5
0x127	0x101_0x0	0x10a
0x75c	0x736_0x0	0x73f
0xe04	0x255	0xdf2
0xe92	0x2e9	0xe72
0x10f0	0x47d	0x10d3
0x1156	0x514	0x1138_0x1
0x1503	0x621	0x14f1
0x157a	0x6d5	0x155a
