0x7b	0x82
0xb8	0xc0
0xe1	0xe8
0xf0	0xf8
0xfa	0x137
0x13d	0x145
0x147	0x14e
0x14a	0x326
0x168	0x170
0x172	0x179
0x1bf	0x1c7
0x1c9	0x1d0
0x213	0x268
0x26e	0x276
0x278	0x2ab
0x2d8	0x2df
0x310	0x318
0x319	0x322
0x31e	0x51b
0x570	0x578
0x579	0x581
0x57d	0x67a
0x584	0x58c
0x594	0x59c
0x6ab	0x6b9
0x6ad	0x6bc
0x6af	0x6bf
0x6b1	0x6c2
0x6b3	0x6c5
0x6b5	0x6c8
0x6b7	0x6cb
0x3f5V0x276	0x3fcB0x276
0x42dV0x276	0x435B0x276
0x469V0x276	0x471B0x276
0x493V0x276	0x49aB0x276
0x510V0x276	0x518B0x276
0x514V0x276	0x636B0x276
0x35bV0x212	0x362B0x212
0x393V0x212	0x39bB0x212
0x39cV0x212	0x3a5B0x212
0x3e6V0x212	0x3eeB0x212
