0x0	0x0
0x20	0x13
0x1f	0x13
0x4	0x0
0xf	0x0
0x2	0x0
0x5	0x0
0x8	0x0
0x9	0x0
0xc	0x0
0xe	0x0
0x11	0x0
0x14	0x13
0x17	0x13
0x1a	0x13
0x1c	0x13
0x1d	0x13
0x22	0x21
0x37	0x21
0x38	0x21
0x3a	0x21
0x4f	0x21
0x50	0x21
0x71	0x21
0x73	0x21
0x74	0x21
0x76	0x21
0x79	0x21
0x7c	0x21
0x81	0x80
0x83	0x80
0xa4	0x80
0xa6	0x80
0xb0	0xaf
0xb3	0xaf
0xd4	0xaf
0xd6	0xaf
0xda	0xaf
0xe1	0xe0
0xe5	0xe0
0xe8	0xe0
0xeb	0xe0
0x12	0x0
0x7f	0x21
0xae	0x80
0xdf	0xaf
0xed	0xe0
0xea	0xe0
0xab	0x80
0x7b	0x21
0x80	0x80
0xaf	0xaf
0x13	0x13
0x21	0x21
0xe0	0xe0
0x77	0x21
0x78	0x21
0x7a	0x21
0xa7	0x80
0xa8	0x80
0xa9	0x80
0xaa	0x80
0xac	0x80
0xad	0x80
0xb2	0xaf
0xd7	0xaf
0xd8	0xaf
0xd9	0xaf
0xdb	0xaf
0xdc	0xaf
0xdd	0xaf
0xde	0xaf
0xe4	0xe0
