0x82	0x7387f44d
0xe6	0xab033ea9
0x12a	0xd39f93c5
0x1b0	0xd8952a49
0x214	0xe1c7392a
0x21e	0xee77d570
0x228	0xf60b0ffe
0xf80	0x00000000
