0x31d	0xa35
0x856	0xf5b
0x197e	0x2c9
0x19d8	0x983
0x1996	0x532
0x19db	0x998
0x198a	0x499
0x1990	0x4ea
0x19d2	0x92b
0x19d5	0x940
0x19bd	0x820
0x19cc	0x897
0x19cf	0x8f0
0x1987	0x44c
0x19c6	0x85f
0x19c9	0x874
0x19c0	0x835
0x19c3	0x84a
0x19ba	0x7ed
0x19b4	0x7c3
0x19b7	0x7d8
0x19ae	0x6e4
0x19b1	0x7ae
0x19a5	0x5f3
0x19a8	0x61e
0x19ab	0x6cf
0x1993	0x51d
0x1999	0x547
0x199c	0x58a
0x199f	0x5ad
0x19a2	0x5de
0x1981	0x311
0x1984	0x39b
0x198d	0x4d5
0xac20x39b	0x1001
0xac20x6e4	0x1001
0xac2B0xdcf	0x1001
