0xeb9
0x103b
0x110f
0x12a8
0x13ec
0x1452
0x17f4
0x18ad
0x1982
0x1b40
0x1c60
0x1eba
0x1ff5
0x20e7
0x225a
0x2300
0x239e
0x2448
0x24f2
0x28db
0x2972
0x2a6b
0x3989S0x301b
0x398dS0x301b
0x3a3aS0x301b
0x3a56S0x301b
0x3965S0x301b
0x3a46S0x301b
0x1351S0x645
0x1740S0x77f
0x1ad0S0x8ba
0x3989S0x35b0S0x219d
0x398dS0x35b0S0x219d
0x3a3aS0x35b0S0x219d
0x3a56S0x35b0S0x219d
0x3965S0x35b0S0x219d
0x3a46S0x35b0S0x219d
0x3989S0x36e4S0x2276
0x398dS0x36e4S0x2276
0x3a3aS0x36e4S0x2276
0x3a56S0x36e4S0x2276
0x3965S0x36e4S0x2276
0x3a46S0x36e4S0x2276
