0xec4
0x1046
0x111a
0x12b3
0x13f7
0x145d
0x17ff
0x18b8
0x198d
0x1b4b
0x1c6b
0x1ec5
0x2000
0x20f2
0x2265
0x230b
0x23a9
0x2453
0x24fd
0x28e6
0x297d
0x2a76
0x3993S0x301b
0x3967S0x301b
0x135cS0x645
0x174bS0x77f
0x1adbS0x8ba
0x3993S0x35b0S0x219d
0x3967S0x35b0S0x219d
0x3993S0x36e4S0x2276
0x3967S0x36e4S0x2276
