0x19d8	0x19da
0x19ea	0x16f
0x19ed	0x208
0x19f0	0x21d
0x19f3	0x244
0x19f6	0x28d
0x19f9	0x2c0
0x19db	0xac
0x19de	0xdd
0x19e1	0x112
0x19e4	0x127
0x19e7	0x15a
