0xac	0xc340a24
0xdd	0x32f289cf
0x112	0x38af3eed
0x127	0x4355b9d2
0x15a	0x55291dbd
0x16f	0x6dbf2fa0
0x208	0x86d1a69f
0x21d	0xb91d4001
0x244	0xcf756fdf
0x28d	0xd4d89996
0x2c0	0xfc0c546a
0x19da	0x00000000
