0xec
0xf1
0x101
0x114
0x127
0x15f
0x19d
0x1c1
0x1c6
0x1e2
0x208
0x591
0x78b
0x862
0x9c9
0x9d4
0x9f2
0xa46
0xa6f
0xbda
0xc36
0xc59
0xc67
0xc8e
0xc9c
0xcaa
0xcd2
0xce0
0xf8d
