0xa9	0x00000000
0xae	0x55cb2666
0xde	0x56208472
0xf3	0x5afc9a26
0x106	0x67e373ce
0x119	0x74f0852e
0x18f	0x88363bf6
0x1a2	0x8da5cb5b
0x1b3	0xac41865a
0x1d4	0xd18f2e13
0x1e7	0xdf33db6d
0x1fa	0xf2fde38b
