0x6be
0x73e
0x12af
0x19ba
0x1a24
0x1e85
0x1eba
0x2696
0x2718
0x27cd
0x287d
0x2b05
0x2f23
0x308d
0x3257
0x32d9
0x33b9
0x3fa8
