0x1eec
0x1f0a
0x1f1a
0x1f35
0x1f45
0x1fda
0x1fea
0x2077
0x2087
0x20db
0x20eb
0x2180
0x2190
0x2207
0x2217
0x22b1
0x22c1
0x2353
0x2363
0x239e
0x23ae
0x38ebS0x2043
0x38b3S0x2148
0x38ebS0x21dc
0x38ebS0x2263
0x38ebS0x231a
0x38ebS0x23fc
0x3410S0x52a8
0x341fS0x52a8
0x38b3S0x3419S0x52a8
0x34fbS0x3448S0x33b9S0x52a8
0x3502S0x3448S0x33b9S0x52a8
0x3fb7S0x392dS0x3448S0x33b9S0x52a8
0x3410S0x5322
0x341fS0x5322
0x38b3S0x3419S0x5322
0x34fbS0x3448S0x33b9S0x5322
0x3502S0x3448S0x33b9S0x5322
0x3fb7S0x392dS0x3448S0x33b9S0x5322
0x3410S0x545b0x2b05
0x341fS0x545b0x2b05
0x38b3S0x3419S0x545b0x2b05
0x34fbS0x3448S0x33b9S0x545b0x2b05
0x3502S0x3448S0x33b9S0x545b0x2b05
0x3fb7S0x392dS0x3448S0x33b9S0x545b0x2b05
0x3410S0x545b0x3392B0x2b22
0x341fS0x545b0x3392B0x2b22
0x38b3S0x3419S0x545b0x3392B0x2b22
0x34fbS0x3448S0x33b9S0x545b0x3392B0x2b22
0x3502S0x3448S0x33b9S0x545b0x3392B0x2b22
0x3fb7S0x392dS0x3448S0x33b9S0x545b0x3392B0x2b22
