0x40	0x7a
0x0	0x80
0x2	0x40
0x8	0x10
0xc	0x0
0x12	0x40
0x15	0x14d
0x1b	0x14d
0x23	0x40
0x26	0x20
0x2b	0x33
0x2f	0x0
0x36	0x1
0x38	0x1
0x3a	0xa0
0x3c	0x10000000000000000000000000000000000000000
0x3d	0xffffffffffffffffffffffffffffffffffffffff
0x44	0x40
0x47	0x461bcd
0x4b	0xe5
0x4d	0x8c379a000000000000000000000000000000000000000000000000000000000
0x50	0x4
0x55	0x20
0x5a	0x20
0x5d	0x24
0x61	0x20
0x65	0x129
0x68	0x24
0x6c	0x40
0x72	0x40
0x77	0x84
0x7b	0x0
0x7f	0x1
0x81	0x1
0x83	0xa0
0x85	0x10000000000000000000000000000000000000000
0x86	0xffffffffffffffffffffffffffffffffffffffff
0x8a	0x1
0x8c	0x1
0x8e	0xa0
0x90	0x10000000000000000000000000000000000000000
0x91	0xffffffffffffffffffffffffffffffffffffffff
0x92	0xffffffffffffffffffffffff0000000000000000000000000000000000000000
0x9c	0x80
0x9f	0xa9
0xa2	0x0
0xa5	0x0
