0x40	0x4b
0x8	0x11
0x2c	0x37
0xef	0xfa
0xf5	0x772
0x123	0x156
0x157	0x16a
0x16d	0x18c
0x171	0x180
0x17e	0x1d7
0x18a	0x1df
0x18f	0x919
0x775	0x77f
0x782	0x78c
0x793	0x7a2
0x79c	0x821
0x6c4V0x37	0x6d2B0x37
0x6cdV0x37	0x5cbB0x37
0x5ccV0x37	0x5d6B0x37
0x7b0V0x5cbV0x37	0x7baB0x5cbB0x37
0x7b5V0x5cbV0x37	0x7c1B0x5cbB0x37
0x595V0x11	0x59eB0x11
0x5a1V0x11	0x5aeB0x11
0x5b4V0x11	0x5c1B0x11
0x57aV0x59eV0x11	0x584B0x59eB0x11
0x900V0x573V0x59eV0x11	0x90aB0x573B0x59eB0x11
0x90dV0x573V0x59eV0x11	0x916B0x573B0x59eB0x11
0x7b0V0x8ffV0x573V0x59eV0x11	0x7baB0x8ffB0x573B0x59eB0x11
0x7b5V0x8ffV0x573V0x59eV0x11	0x7c1B0x8ffB0x573B0x59eB0x11
0x57aV0x5aeV0x11	0x584B0x5aeB0x11
0x900V0x573V0x5aeV0x11	0x90aB0x573B0x5aeB0x11
0x90dV0x573V0x5aeV0x11	0x916B0x573B0x5aeB0x11
0x7b0V0x8ffV0x573V0x5aeV0x11	0x7baB0x8ffB0x573B0x5aeB0x11
0x7b5V0x8ffV0x573V0x5aeV0x11	0x7c1B0x8ffB0x573B0x5aeB0x11
0x195V0x156	0x1a5B0x156
0x1a3V0x156	0x2a3B0x156
0x1acV0x156	0x1b3B0x156
0x1b5V0x156	0x1558B0x156
0x1baV0x156	0x1d0B0x156
0x2a4V0x156	0x2b4B0x156
0x2b2V0x156	0x330B0x156
0x331V0x156	0x346B0x156
0x347V0x156	0x388B0x156
0x375V0x156	0x37fB0x156
0x38aV0x156	0x3c2B0x156
0x3c0V0x156	0x4fdB0x156
0x70dV0x34cV0x156	0x717B0x34cB0x156
0x712V0x34cV0x156	0x654B0x34cB0x156
0x666V0x34cV0x156	0x670B0x34cB0x156
0x66bV0x34cV0x156	0x861B0x34cB0x156
0x657V0x34cV0x156	0x663B0x34cB0x156
0x2fdV0x1baV0x156	0x328B0x1baB0x156
0x448V0x2faV0x1baV0x156	0x452B0x2faB0x1baB0x156
0x4bdV0x2faV0x1baV0x156	0x4c7B0x2faB0x1baB0x156
0x409V0x2faV0x1baV0x156	0x419B0x2faB0x1baB0x156
0x41aV0x2faV0x1baV0x156	0x45bB0x2faB0x1baB0x156
0x47aV0x2faV0x1baV0x156	0x485B0x2faB0x1baB0x156
0x49bV0x2faV0x1baV0x156	0x4c2B0x2faB0x1baB0x156
0x4cdV0x2faV0x1baV0x156	0x4dfB0x2faB0x1baB0x156
0x72fV0x41fV0x2faV0x1baV0x156	0x739B0x41fB0x2faB0x1baB0x156
0x734V0x41fV0x2faV0x1baV0x156	0x67bB0x41fB0x2faB0x1baB0x156
0x68dV0x41fV0x2faV0x1baV0x156	0x697B0x41fB0x2faB0x1baB0x156
0x692V0x41fV0x2faV0x1baV0x156	0x8b0B0x41fB0x2faB0x1baB0x156
0x67eV0x41fV0x2faV0x1baV0x156	0x68aB0x41fB0x2faB0x1baB0x156
0x6a5V0x45bV0x2faV0x1baV0x156	0x6b0B0x45bB0x2faB0x1baB0x156
0x6abV0x45bV0x2faV0x1baV0x156	0x5dcB0x45bB0x2faB0x1baB0x156
0x5eaV0x45bV0x2faV0x1baV0x156	0x5f5B0x45bB0x2faB0x1baB0x156
0x5f0V0x45bV0x2faV0x1baV0x156	0x756B0x45bB0x2faB0x1baB0x156
0x5f8V0x45bV0x2faV0x1baV0x156	0x607B0x45bB0x2faB0x1baB0x156
0x5dfV0x45bV0x2faV0x1baV0x156	0x5e9B0x45bB0x2faB0x1baB0x156
0x5e4V0x45bV0x2faV0x1baV0x156	0x740B0x45bB0x2faB0x1baB0x156
0x810V0x5f5V0x45bV0x2faV0x1baV0x156	0x81bB0x5f5B0x45bB0x2faB0x1baB0x156
0x7f3V0x5f5V0x45bV0x2faV0x1baV0x156	0x80bB0x5f5B0x45bB0x2faB0x1baB0x156
0x806V0x5f5V0x45bV0x2faV0x1baV0x156	0x7eeB0x5f5B0x45bB0x2faB0x1baB0x156
0x50cV0x4c7V0x2faV0x1baV0x156	0x519B0x4c7B0x2faB0x1baB0x156
0x520V0x4c7V0x2faV0x1baV0x156	0x52dB0x4c7B0x2faB0x1baB0x156
0x558V0x4c7V0x2faV0x1baV0x156	0x563B0x4c7B0x2faB0x1baB0x156
0x514V0x4c7V0x2faV0x1baV0x156	0x56cB0x4c7B0x2faB0x1baB0x156
0x6e9V0x52dV0x4c7V0x2faV0x1baV0x156	0x6f4B0x52dB0x4c7B0x2faB0x1baB0x156
0x6efV0x52dV0x4c7V0x2faV0x1baV0x156	0x613B0x52dB0x4c7B0x2faB0x1baB0x156
0x621V0x52dV0x4c7V0x2faV0x1baV0x156	0x62cB0x52dB0x4c7B0x2faB0x1baB0x156
0x62fV0x52dV0x4c7V0x2faV0x1baV0x156	0x63eB0x52dB0x4c7B0x2faB0x1baB0x156
0x63fV0x52dV0x4c7V0x2faV0x1baV0x156	0x649B0x52dB0x4c7B0x2faB0x1baB0x156
0x644V0x52dV0x4c7V0x2faV0x1baV0x156	0x850B0x52dB0x4c7B0x2faB0x1baB0x156
0x616V0x52dV0x4c7V0x2faV0x1baV0x156	0x620B0x52dB0x4c7B0x2faB0x1baB0x156
0x61bV0x52dV0x4c7V0x2faV0x1baV0x156	0x74bB0x52dB0x4c7B0x2faB0x1baB0x156
0x810V0x62cV0x52dV0x4c7V0x2faV0x1baV0x156	0x81bB0x62cB0x52dB0x4c7B0x2faB0x1baB0x156
0x7f3V0x62cV0x52dV0x4c7V0x2faV0x1baV0x156	0x80bB0x62cB0x52dB0x4c7B0x2faB0x1baB0x156
0x806V0x62cV0x52dV0x4c7V0x2faV0x1baV0x156	0x7eeB0x62cB0x52dB0x4c7B0x2faB0x1baB0x156
