0x13c	0xc340a24
0x160	0x15fe96dc
0x185	0x27f18ae3
0x1b3	0x485cc955
0x1e1	0x52665f47
0x21f	0x6a627842
0x245	0x6dd5b69d
0x262	0x81c0c263
0x26a	0x8b752bb0
0x298	0x8ec872e3
0x2bb	0xa0990033
0x2fd	0xa51e1904
0x31a	0xb21544f3
0x34c	0xb6aa515b
0x372	0xc33342e9
0x398	0xc4d66de8
0x3be	0xdd289d60
0x3e4	0xddf2be3f
0x40d	0xeed865e0
0x439	0xf77c4791
0x441	0xfc0c546a
0xf8f	0x00000000
