0x5e	0x6a
0x80	0xa5
0xa1	0xaa
0xba	0xc1
0xc9	0xd1
0xd3	0x477
0xd6	0x151
0xf4	0xfc
0xfe	0x4a3
0x101	0x160
0x109	0x111
0x113	0x4cf
0x116	0x16f
0x11e	0x126
0x128	0x13a
0x12b	0x135
0x136	0x17e
0x140	0x148
0x14a	0x4fb
0x14d	0x238
0x18d	0x1b1
0x1a0	0x527
0x1bc	0x1d7
0x1cf	0x54f
0x220	0x22c
0x47b	0xe70xc5
0x4a7	0xe70xf0
0x4d3	0xe70x105
0x4ff	0xe70x13c
0x65f	0x66b
0x661	0x66e
0x663	0x671
0x665	0x674
0x667	0x677
0x669	0x67a
0x3cbV0x191	0x634B0x191
0x3cfV0x191	0x31eB0x191
0x321V0x191	0x32bB0x191
0x3bbV0x1c0	0x60fB0x1c0
0x3bfV0x1c0	0x2acB0x1c0
0x2afV0x1c0	0x2b9B0x1c0
0x379V0x4a	0x5c3B0x4a
0x37fV0x4a	0x28dB0x4a
0x29cV0x4a	0x2a6B0x4a
0x2a2V0x4a	0x3f2B0x4a
0x290V0x4a	0x299B0x4a
0x388V0x477	0x5eaB0x477
0x27fV0x383V0x477	0x287B0x383B0x477
0x3eeV0x27eV0x383V0x477	0x659B0x27eB0x383B0x477
0x388V0x4a3	0x5eaB0x4a3
0x27fV0x383V0x4a3	0x287B0x383B0x4a3
0x3eeV0x27eV0x383V0x4a3	0x659B0x27eB0x383B0x4a3
0x388V0x4cf	0x5eaB0x4cf
0x27fV0x383V0x4cf	0x287B0x383B0x4cf
0x3eeV0x27eV0x383V0x4cf	0x659B0x27eB0x383B0x4cf
0x388V0x4fb	0x5eaB0x4fb
0x27fV0x383V0x4fb	0x287B0x383B0x4fb
0x3eeV0x27eV0x383V0x4fb	0x659B0x27eB0x383B0x4fb
0x396V0x1d7	0x39fB0x1d7
0x3a0V0x1d7	0x3acB0x1d7
0x27fV0x391V0x1d7	0x287B0x391B0x1d7
0x3eeV0x27eV0x391V0x1d7	0x659B0x27eB0x391B0x1d7
0x27fV0x39fV0x1d7	0x287B0x39fB0x1d7
0x3eeV0x27eV0x39fV0x1d7	0x659B0x27eB0x39fB0x1d7
0x262V0x126	0x26aB0x126
0x26dV0x126	0x59cB0x126
0x24aV0x26aV0x126	0x577B0x26aB0x126
0x3ffV0x247V0x26aV0x126	0x407B0x247B0x26aB0x126
0x40aV0x247V0x26aV0x126	0x412B0x247B0x26aB0x126
0x3eeV0x3feV0x247V0x26aV0x126	0x659B0x3feB0x247B0x26aB0x126
