0xac	0x248a9ca3
0xe8	0x2abfc1ba
0xfd	0x2f2ff15d
0x138	0x36568abe
0x171	0x485cc955
0x1ac	0x4e4a0c82
0x245	0x76a67a51
0x278	0x9010d07c
0x2c4	0x91d14854
0x2fd	0xa217fddf
0x312	0xca15c873
0x33c	0xd547741f
0xd8a	0x00000000
