0x60	0xdae
0x1a	0x64
0xb0	0xb8
0xba	0xdd2
0xc7	0xcf
0xd2	0x375
0xec	0xf4
0xf6	0xe03
0xf9	0x38a
0x101	0x109
0x10b	0xe34
0x118	0x120
0x132	0x39c
0x13c	0x144
0x146	0xe55
0x153	0x15b
0x16d	0x408
0x175	0x17d
0x17f	0xe76
0x18c	0x194
0x1a8	0x469
0x1ad	0xe97
0x1ba	0x1c2
0x1ea	0x1f2
0x1fc	0x204
0x21e	0x226
0x22d	0x538
0x249	0x251
0x253	0xeca
0x260	0x268
0x274	0x668
0x27c	0x284
0x286	0x2a8
0x293	0x29b
0x2a4	0x71d
0x2c8	0x2d0
0x2d2	0xeeb
0x2df	0x2e7
0x2f9	0x73e0x2c4
0x301	0x309
0x30b	0xf1e
0x30e	0x756
0x316	0x31e
0x320	0xf4f
0x32d	0x335
0x338	0x75b
0x340	0x348
0x34a	0xf80
0x357	0x35f
0x371	0x772
0x3af	0x3bf
0x3b3	0xfa1
0x3c0	0x3fa0xfd
0x409	0x410
0x425	0x45f0x138
0x476	0x482
0x47b	0x482
0x484	0x490
0x491	0x4cb
0x4da	0x4f6
0x4f7	0x4fe
0x4ff	0x509
0x50a	0x521
0x524	0x533
0x53b	0x552
0x553	0x599
0x59a	0x5dc
0x669	0x680
0x681	0x6c7
0x6fa	0x702
0x709	0x716
0x72c	0x7350x278
0x76a	0x100b
0x785	0x790
0x789	0x1030
0x791	0x45f0x33c
0x7de	0x7e7
0x7e9	0x1054
0x7ed	0x7f4
0x847	0x850
0x852	0x1077
0x856	0x85d
0x9a3	0x7350x9a0
0x9f7	0xa03
0x9fc	0xa03
0xa05	0xa11
0xa12	0xa4c
0xa5b	0x9440x9ea
0xa79	0x10e1
0xb3b	0xb44
0xb45	0xb7a
0xb76	0x1103
0xb7e	0x1128
0xb96	0xc3e
0xbb0	0xbb5
0xbcd	0xbd2
0xbfd	0xc02
0xc3a	0x114d
0xc44	0x1172
0x1178	0x11ca
0x117a	0x11a4
0x117c	0x11a7
0x117e	0x11aa
0x1180	0x11ad
0x1182	0x11b0
0x1184	0x11b3
0x1186	0x1192
0x1188	0x1195
0x118a	0x1198
0x118c	0x119b
0x118e	0x119e
0x1190	0x11a1
0x9ea0x947	0x109a0x9ea
0x2c40x74d	0x7350x2c4
0x1380x460	0xfe80x138
0x33c0x460	0xfe80x33c
0xfd0x3fb	0xfc50xfd
0x997V0x71d	0x7350x994B0x71d
0x99cV0x71d	0xab8B0x71d
0xac0V0x71d	0xafaB0x71d
0xb04V0x71d	0xb09B0x71d
0x9b8V0x75b	0x10bcB0x75b
0x9bcV0x75b	0xb34B0x75b
0x9c3V0x7cf	0x7350x9c0B0x7cf
0x3fbV0x4fe	0xfc50x3faB0x4fe
0x3fbV0x509	0xfc50x3faB0x509
0x961V0x599	0x96cB0x599
0x968V0x599	0xa8aB0x599
0x97dV0x599	0x96cB0x599
0x983V0x599	0xaa2B0x599
0x95dV0x599	0x973B0x599
0x979V0x599	0x987B0x599
0x96fV0x599	0x98bB0x599
0x9d8V0x838	0x7350x9d5B0x838
0x74dV0x538	0x7350x73eB0x538
0x74dV0x668	0x7350x73eB0x668
0x74dV0xfa1	0x7350x73eB0xfa1
0x8b4V0x4f6	0x8c0B0x4f6
0x8c2V0x4f6	0x8ceB0x4f6
0x8cfV0x4f6	0x909B0x4f6
0x918V0x4f6	0x934B0x4f6
0x935V0x4f6	0x93cB0x4f6
0x93dV0x4f6	0x9440x8a7B0x4f6
0x8b9V0x4f6	0x8c0B0x4f6
0x8a70x947V0x4f6	0x109a0x8a7B0x4f6
0x74dV0x1030	0x7350x73eB0x1030
