0x11ca	0xd8a
0x11a4	0x245
0x11a7	0x278
0x11aa	0x2c4
0x11ad	0x2fd
0x11b0	0x312
0x11b3	0x33c
0x1192	0xac
0x1195	0xe8
0x1198	0xfd
0x119b	0x138
0x119e	0x171
0x11a1	0x1ac
0x73e0x2c4	0x9a0
0x45f0x138	0x838
0x45f0x33c	0x838
0x3fa0xfd	0x7cf
0x9c0B0x7cf	0xb38
0x3faB0x4fe	0x7cf
0x3faB0x509	0x7cf
0x9d5B0x838	0xb82
0x73eB0x538	0x9a0
0x73eB0x668	0x9a0
0x73eB0xfa1	0x9a0
0x934B0x4f6	0x9ea
0x93cB0x4f6	0x9ea
0x73eB0x1030	0x9a0
