0x4a6	settle(uint256,uint256)
0x534	depositByMonths(uint256,uint256,address)
0x825	longToken()
0x8bc	collateralToken()
0x107e	allowance(address,address)
0x160cS0x151dS0x144b0x102c	approve(address,uint256)
