0x16d	0x4a2	0x1780x160
0x342	0xce7	0x1780x335
0x384	0xd49	0x36bb
0xf13	0x1b7f	0xf24
0x585B0x1e3	0x1b65	0x596B0x1e3
0x5f0B0x1e3	0x1b65	0x62bB0x1e3
0xaa5B0x31f	0x1b65	0xab1B0x31f
0xb02B0x31f	0x1b65	0xb11B0x31f
0xcbeB0x31f	0x1b7f	0xcd5B0x31f
0x129cB0x47a	0x1b7f	0x12daB0x47a
