0x1c9	0xc7d5cd8
0x1e7	0x13af4035
0x1fc	0x16c38b3c
0x20f	0x206eeb81
0x217	0x22867d78
0x22a	0x2d88af4a
0x23d	0x326931a9
0x25d	0x4b8a3529
0x270	0x5c60da1b
0x285	0x5c975abb
0x29a	0x60536172
0x2a2	0x7a233fb3
0x2aa	0x7b103999
0x2bf	0x844201c7
0x2d2	0x8da5cb5b
0x2da	0x9b6c56ec
0x2fa	0x9fd0506d
0x302	0xa0712d68
0x315	0xa10954fe
0x31d	0xa91ee0dc
0x330	0xab518e6e
0x338	0xba0bba40
0x340	0xca43c38f
0x353	0xdb006a75
0x366	0xdf791e50
0x379	0xea15c2e3
0x38c	0xf851a440
0x394	0xfc7b9c18
0x360f	0x00000000
