0x286c	0x287a	-32
0x3f56	0x3f62	-32
0x3f56	0x3f88	0
0x540a	0x5401	-96
0x540a	0x541a	-64
0x540a	0x5301S0x53ec	-32
0x559b	0x55a9	-96
0x559b	0x55bc	-64
0x559b	0x5344S0x558e	-32
0x55e1	0x55e2	-32
0x55e1	0x5608	0
0x55e1	0x5615	32
0x5625	0x5626	-32
0x5625	0x563d	0
0x564d	0x564e	-32
0x564d	0x5674	0
0x564d	0x5683	32
0x5693	0x5694	-32
0x5693	0x56b0	0
0x56c0	0x56c1	-32
0x56c0	0x56e7	0
0x5765	0x5766	-32
0x5765	0x578c	0
0x5819	0x581a	-32
0x5819	0x5840	0
0x5850	0x5851	-32
0x5850	0x5877	0
0x5850	0x5886	32
0x58fa	0x58fb	-32
0x58fa	0x590f	0
0x5987	0x5988	-32
0x5987	0x59ae	0
0x5a2a	0x5a2b	-32
0x5a2a	0x5a51	0
0x5a61	0x5a62	-32
0x5a61	0x5a88	0
0x5a61	0x5a92	32
0x5aa2	0x5aa3	-32
0x5aa2	0x5ac9	0
0x5aa2	0x5ad4	32
0x5ae4	0x5ae5	-32
0x5ae4	0x5b00	0
0x5b10	0x5b11	-32
0x5b10	0x5b2f	0
0x5b3f	0x5b40	-32
0x5b3f	0x5b58	0
0x5b68	0x5b69	-32
0x5b68	0x5b83	0
0x5c1e	0x5c1f	-32
0x5c1e	0x5c45	0
0x5c1e	0x5c58	32
0x5c68	0x5c69	-32
0x5c68	0x5c8f	0
0x5c9f	0x5ca0	-32
0x5c9f	0x5cbf	0
0x29440x5946	0x59470x2944	-32
0x29440x5946	0x596d0x2944	0
0x29440x5946	0x59770x2944	32
0x29d80x5946	0x59470x29d8	-32
0x29d80x5946	0x596d0x29d8	0
0x29d80x5946	0x59770x29d8	32
0x297e0x579c	0x579d0x297e	-32
0x297e0x579c	0x57c30x297e	0
0x29d80x579c	0x579d0x29d8	-32
0x29d80x579c	0x57c30x29d8	0
0x59bcV0xdad	0x59bdS0xdad	-32
0x59bcV0xdad	0x59e3S0xdad	0
0x5bf7V0x1108	0x5bf8S0x1108	-32
0x5bf7V0x1108	0x5c0eS0x1108	0
0x59bcV0x131c	0x59bdS0x131c	-32
0x59bcV0x131c	0x59e3S0x131c	0
0x59bcV0x13fa	0x59bdS0x13fa	-32
0x59bcV0x13fa	0x59e3S0x13fa	0
0x59bcV0x1788	0x59bdS0x1788	-32
0x59bcV0x1788	0x59e3S0x1788	0
0x5bf7V0x1db9	0x5bf8S0x1db9	-32
0x5bf7V0x1db9	0x5c0eS0x1db9	0
0x5bf7V0x1e55	0x5bf8S0x1e55	-32
0x5bf7V0x1e55	0x5c0eS0x1e55	0
0x5bf7V0x2339	0x5bf8S0x2339	-32
0x5bf7V0x2339	0x5c0eS0x2339	0
0x59bcV0x255d	0x59bdS0x255d	-32
0x59bcV0x255d	0x59e3S0x255d	0
0x59bcV0x269b	0x59bdS0x269b	-32
0x59bcV0x269b	0x59e3S0x269b	0
0x59f3V0x4865	0x59f4S0x4865	-32
0x59f3V0x4865	0x5a1aS0x4865	0
0x59f3V0x48bf	0x59f4S0x48bf	-32
0x59f3V0x48bf	0x5a1aS0x48bf	0
0x591fV0x41f	0x5920S0x41f	-32
0x591fV0x41f	0x5936S0x41f	0
0x14c5V0x5e8	0x14c9S0x5e8	-32
0x1508V0x5e8	0x150cS0x5e8	-32
0x154bV0x5e8	0x154fS0x5e8	-32
0x158eV0x5e8	0x1592S0x5e8	-32
0x15d1V0x5e8	0x15d5S0x5e8	-32
0x1614V0x5e8	0x1618S0x5e8	-32
0x1ea3V0x724	0x1ea7S0x724	-32
0x1ee6V0x724	0x1eeaS0x724	-32
0x1f29V0x724	0x1f2dS0x724	-32
0x1f6cV0x724	0x1f70S0x724	-32
0x5cf6V0x507f	0x5096	-32
0x113aV0x4ea	0x1147S0x4ea	-32
0x11a3V0x4ea	0x1179S0x4ea	-96
0x11a3V0x4ea	0x121bS0x4ea	-64
0x11a3V0x4ea	0x11b0S0x4ea	-32
0x11a3V0x4ea	0x11dfS0x4ea	0
0x1905V0x658	0x1912S0x658	-32
0x5519V0x5ed	0x5527S0x5ed	-192
0x5519V0x5ed	0x553bS0x5ed	-160
0x5519V0x5ed	0x554fS0x5ed	-128
0x5519V0x5ed	0x5563S0x5ed	-96
0x5519V0x5ed	0x5577S0x5ed	-64
0x5519V0x5ed	0x5344S0x550cS0x5ed	-32
0x54b9V0x660	0x5344S0x54acS0x660	-32
0x1979V0x683	0x197dS0x683	-32
0x19bcV0x683	0x19c0S0x683	-32
0x54ccV0x729	0x54daS0x729	-128
0x54ccV0x729	0x54eeS0x729	-96
0x54ccV0x729	0x5502S0x729	-64
0x54ccV0x729	0x5344S0x54bfS0x729	-32
0x56f7V0x77d	0x56f8S0x77d	-32
0x56f7V0x77d	0x571eS0x77d	0
0x56f7V0x77d	0x572aS0x77d	32
0x58c3V0x77d	0x58c4S0x77d	-32
0x58c3V0x77d	0x58eaS0x77d	0
0x573aV0x77d	0x573bS0x77d	-32
0x573aV0x77d	0x5755S0x77d	0
0x5bcaV0x7ab	0x5bcbS0x7ab	-32
0x5bcaV0x7ab	0x5be7S0x7ab	0
0x59bcV0x261eV0x7ab	0x59bdS0x261eS0x7ab	-32
0x59bcV0x261eV0x7ab	0x59e3S0x261eS0x7ab	0
0x59bcV0xbfdV0x44a	0x59bdS0xbfdS0x44a	-32
0x59bcV0xbfdV0x44a	0x59e3S0xbfdS0x44a	0
0x5445V0x4f2	0x5448S0x4f2	-32
0x5896V0x747	0x5897S0x747	-32
0x5896V0x747	0x58b3S0x747	0
0x59bcV0x20b4V0x747	0x59bdS0x20b4S0x747	-32
0x59bcV0x20b4V0x747	0x59e3S0x20b4S0x747	0
0x5cf6V0x4fadV0x675	0x4fc2S0x675	-32
0x5cf6V0x4fadV0x716	0x4fc2S0x716	-32
0x4b4dV0x47da	0x4b5fS0x47da	-32
0x57d3V0x47da	0x57d4S0x47da	-32
0x57d3V0x47da	0x57faS0x47da	0
0x57d3V0x47da	0x5809S0x47da	32
0x5b93V0x47da	0x5b94S0x47da	-32
0x5b93V0x47da	0x5bbaS0x47da	0
0x55d1V0x4c34V0x4b71V0x47da	0x5373S0x55c4S0x4c34S0x4b71S0x47da	-32
