0x16a2	burn(uint256)
0x1a72	proxyOwner()
0x1127S0x400	balanceOf(address)
0x11c2S0x400	transfer(address,uint256)
0x7cbS0x2bc	isValidator(address)
0x931S0x2bc	requiredSignatures()
0xa0fS0x2bc	mint(address,uint256)
0x14daS0x4b1	claimTokens(address,address)
0x1e4fS0x69e	owner()
0xcaaS0x3bc	isValidator(address)
0xf4aS0x3bc	requiredSignatures()
