0xa6	0x10f	0xde	0xde
0xde	0x113	0xf3	0xf3
0xf3	0x1d2	0x107	0x107
0x113	0x259	0x130	0x130
0x1d2	0x28f	0x1ef	0x1ef
0x49e	0x228a	0x1ef	0x1ef
0x571	0x22b1	0x1ef	0x1ef
0x597	0x22ba	0x1ef	0x1ef
0x652	0x22db	0x1ef	0x1ef
