0x5a8	comptroller()
0x726	claimComp(address[],address[],bool,bool)
0x7a2	balanceOf(address)
0x14e3	redeemUnderlying(uint256)
0x1dcb	allowance(address,address)
0x19d50x18f2S0x48e	mint(uint256)
0x1edcS0x13fa	exchangeRateStored()
0x1647S0x374	balanceOf(address)
0x19d50x1576S0x374	mint(uint256)
0x1bbfS0x931S0x260	balanceOf(address)
0x1c34S0x931S0x260	exchangeRateStored()
0x20a5S0x1f510x188f	transfer(address,uint256)
0x20a5S0x1f510x18bbS0x1e6d	approve(address,uint256)
0xa99S0x299	balanceOf(address)
0xb1eS0x299	balanceOf(address)
0xb8eS0x299	redeem(uint256)
0xc72S0x299	balanceOf(address)
0x20a5S0x1f510x96dS0x299	transfer(address,uint256)
